ID,Name,Category,Price
1,Wireless Headphones,Electronics,79.99
2,Smart Watch,Electronics,199.99
3,Coffee Maker,Home & Kitchen,89.99
4,Running Shoes,Sports & Outdoors,129.99
5,Laptop Stand,Office Supplies,49.99
6,Bluetooth Speaker,Electronics,59.99
7,Yoga Mat,Sports & Outdoors,29.99
8,Desk Lamp,Home & Kitchen,39.99
9,USB-C Cable,Electronics,19.99
10,Water Bottle,Sports & Outdoors,24.99
11,Mechanical Keyboard,Electronics,129.99
12,Wireless Mouse,Electronics,29.99
13,Monitor Stand,Office Supplies,39.99
14,Standing Desk,Office Supplies,299.99
15,Ergonomic Chair,Office Supplies,249.99
16,Noise Cancelling Headphones,Electronics,349.99
17,Gaming Mouse,Electronics,79.99
18,Webcam HD,Electronics,89.99
19,Microphone USB,Electronics,99.99
20,Tablet Stand,Office Supplies,24.99
21,Phone Stand,Electronics,15.99
22,Wireless Charger,Electronics,34.99
23,Power Bank,Electronics,49.99
24,HDMI Cable,Electronics,12.99
25,Ethernet Cable,Electronics,9.99
26,Router WiFi,Electronics,79.99
27,Smart Bulb,Home & Kitchen,19.99
28,Smart Plug,Home & Kitchen,24.99
29,Air Purifier,Home & Kitchen,199.99
30,Robot Vacuum,Home & Kitchen,299.99
31,Instant Pot,Home & Kitchen,89.99
32,Air Fryer,Home & Kitchen,79.99
33,Toaster,Home & Kitchen,39.99
34,Blender,Home & Kitchen,59.99
35,Food Processor,Home & Kitchen,129.99
36,Mixer Stand,Home & Kitchen,199.99
37,Cookware Set,Home & Kitchen,149.99
38,Knife Set,Home & Kitchen,79.99
39,Cutting Board,Home & Kitchen,29.99
40,Dish Rack,Home & Kitchen,19.99
41,Running Shorts,Sports & Outdoors,24.99
42,Workout Tank,Sports & Outdoors,19.99
43,Dumbbells Set,Sports & Outdoors,89.99
44,Resistance Bands,Sports & Outdoors,24.99
45,Jump Rope,Sports & Outdoors,12.99
46,Foam Roller,Sports & Outdoors,29.99
47,Exercise Ball,Sports & Outdoors,34.99
48,Weight Bench,Sports & Outdoors,149.99
49,Pull Up Bar,Sports & Outdoors,49.99
50,Treadmill,Sports & Outdoors,599.99
51,Bike Helmet,Sports & Outdoors,59.99
52,Cycling Gloves,Sports & Outdoors,19.99
53,Swimming Goggles,Sports & Outdoors,24.99
54,Tennis Racket,Sports & Outdoors,89.99
55,Basketball,Sports & Outdoors,29.99
56,Soccer Ball,Sports & Outdoors,24.99
57,Camping Tent,Sports & Outdoors,149.99
58,Sleeping Bag,Sports & Outdoors,79.99
59,Backpack Hiking,Sports & Outdoors,89.99
60,Waterproof Jacket,Sports & Outdoors,129.99
61,Smartphone Case,Electronics,19.99
62,Screen Protector,Electronics,9.99
63,Phone Grip,Electronics,12.99
64,Car Mount,Electronics,24.99
65,Car Charger,Electronics,15.99
66,Portable SSD,Electronics,89.99
67,USB Hub,Electronics,29.99
68,SD Card,Electronics,24.99
69,External Hard Drive,Electronics,79.99
70,Printer,Electronics,129.99
71,Scanner,Electronics,149.99
72,Label Maker,Office Supplies,49.99
73,Stapler,Office Supplies,12.99
74,Paper Shredder,Office Supplies,89.99
75,File Organizer,Office Supplies,19.99
76,Desk Organizer,Office Supplies,24.99
77,Pen Set,Office Supplies,15.99
78,Notebook Set,Office Supplies,19.99
79,Calendar Wall,Office Supplies,14.99
80,Whiteboard,Office Supplies,39.99
81,Desk Mat,Office Supplies,24.99
82,Foot Rest,Office Supplies,29.99
83,Monitor Light Bar,Office Supplies,59.99
84,Cable Management,Office Supplies,19.99
85,Desk Fan,Office Supplies,34.99
86,Space Heater,Home & Kitchen,49.99
87,Humidifier,Home & Kitchen,59.99
88,Dehumidifier,Home & Kitchen,149.99
89,Vacuum Cleaner,Home & Kitchen,199.99
90,Steam Mop,Home & Kitchen,79.99
91,Robot Mop,Home & Kitchen,249.99
92,Smart Thermostat,Home & Kitchen,199.99
93,Doorbell Camera,Home & Kitchen,149.99
94,Security Camera,Home & Kitchen,89.99
95,Smart Lock,Home & Kitchen,179.99
96,Garage Door Opener,Home & Kitchen,199.99
97,Smart Doorbell,Home & Kitchen,129.99
98,Video Doorbell,Home & Kitchen,159.99
99,Smart Switch,Home & Kitchen,29.99
100,Smart Sensor,Home & Kitchen,34.99
